page_nb;content;date;document_name
0;Date de I'offre : 11 Mai 2020 ;11/05/2020;IOT VALLEY - Contrat avec signatures
0;ŁŁŁ ;11/05/2020;IOT VALLEY - Contrat avec signatures
1;IOTVALLEY ;11/05/2020;IOT VALLEY - Contrat avec signatures
1;23 1 rue Pierre et Marie Curie ;11/05/2020;IOT VALLEY - Contrat avec signatures
1;31670 Labege ;11/05/2020;IOT VALLEY - Contrat avec signatures
1;A l'attention Monsieur LE MOAN ;11/05/2020;IOT VALLEY - Contrat avec signatures
1;A Colomiers, le 11 Mai 2020 ;11/05/2020;IOT VALLEY - Contrat avec signatures
1;Objet: Proposition de contrat d'entretien: ;11/05/2020;IOT VALLEY - Contrat avec signatures
1;Monsieur, ;11/05/2020;IOT VALLEY - Contrat avec signatures
1;Nous avons le plaisir de vous remettre ci-joint, notre proposition de contrat de maintenance pour votre installation de Climatisation et ventilation situe : IOT VALLEY 231 rue Pierre et Marie Curie 31670 Labege ;11/05/2020;IOT VALLEY - Contrat avec signatures
1;La duree de validite de celle-ci est de deux mois a compter de sa date d'etablissement. ;11/05/2020;IOT VALLEY - Contrat avec signatures
1;Si cette proposition retient votre attention, nous vous serions reconnaissants de bien vouloir nous faire parvenir les deux exemplaires paraphes et revetus de votre signature, dont un vous sera retourne apres apposition du cachet de notre Societe. ;11/05/2020;IOT VALLEY - Contrat avec signatures
1;II convient par ailleurs de nous transmettre tous les documents techniques de votre installation et notamment ceux lies aux preconisations des constructeurs, les proces-verbaux de reception et, eventuellement, le dossier des interventions ulterieures sur l'ouvrage. ;11/05/2020;IOT VALLEY - Contrat avec signatures
1;Bien entendu, nous sommes a votre entiere disposition pour toute explication ou renseignements complementaires. ;11/05/2020;IOT VALLEY - Contrat avec signatures
1;Nous vous prions d'agreer, Madame, Monsieur, l'expression de nos respectueuses et sinceres salutations. ;11/05/2020;IOT VALLEY - Contrat avec signatures
1;Mathieu SOULIE BELREPAYRE ;11/05/2020;IOT VALLEY - Contrat avec signatures
1;Manager d'activite ;11/05/2020;IOT VALLEY - Contrat avec signatures
2;SYNTHESE DU CONTRAT ;11/05/2020;IOT VALLEY - Contrat avec signatures
2;Client ;11/05/2020;IOT VALLEY - Contrat avec signatures
2;IOTVALLEY ;11/05/2020;IOT VALLEY - Contrat avec signatures
2;Reference contrat ;11/05/2020;IOT VALLEY - Contrat avec signatures
2;Site de Labege ;11/05/2020;IOT VALLEY - Contrat avec signatures
2;Type ;11/05/2020;IOT VALLEY - Contrat avec signatures
2;P2 ;11/05/2020;IOT VALLEY - Contrat avec signatures
2;Materiel ;11/05/2020;IOT VALLEY - Contrat avec signatures
2;elimatisation et ventilation ;11/05/2020;IOT VALLEY - Contrat avec signatures
2;Visites ;11/05/2020;IOT VALLEY - Contrat avec signatures
2;2 visites de maintenance/ an pour le eve ;11/05/2020;IOT VALLEY - Contrat avec signatures
2;1 visite/an (samedi matin -tableaux electrique) ;11/05/2020;IOT VALLEY - Contrat avec signatures
2;Fournitures  -Filtre ve et eTA (Ix/an)  -1 Analyse legionellose  -1 Analyse phisico-chimique (circuit change-over)  -Petite fourniture  Plan de prevention ;11/05/2020;IOT VALLEY - Contrat avec signatures
2;a realiser avec le client et le responsable de projet (technicien) ;11/05/2020;IOT VALLEY - Contrat avec signatures
2;Delais d'intervention de depannage ;11/05/2020;IOT VALLEY - Contrat avec signatures
2;Sous 2 heures -Urgent (24/24 -7/7) Sous 8 heures -Normal ;11/05/2020;IOT VALLEY - Contrat avec signatures
2;Reparation et travaux ;11/05/2020;IOT VALLEY - Contrat avec signatures
2;< ou = a 200€ pieces : inclus au contrat > a 200€: Hors contrat (Sur devis) ;11/05/2020;IOT VALLEY - Contrat avec signatures
2;Prix annuel (HT) ;11/05/2020;IOT VALLEY - Contrat avec signatures
2;5 415 € ;11/05/2020;IOT VALLEY - Contrat avec signatures
2;Paiement ;11/05/2020;IOT VALLEY - Contrat avec signatures
2;Semestriel a echoir ;11/05/2020;IOT VALLEY - Contrat avec signatures
2;Date de debut ;11/05/2020;IOT VALLEY - Contrat avec signatures
2;01-juil-20;11/05/2020;IOT VALLEY - Contrat avec signatures
2;Duree du contrat ;11/05/2020;IOT VALLEY - Contrat avec signatures
2;2 an(s) ;11/05/2020;IOT VALLEY - Contrat avec signatures
3;ENTRE LES SOlJSSIGNEES ;11/05/2020;IOT VALLEY - Contrat avec signatures
3;D'une part: ;11/05/2020;IOT VALLEY - Contrat avec signatures
3;IOTVALLEY ;11/05/2020;IOT VALLEY - Contrat avec signatures
3;Dont le Siege Social est situe: IOT VALLEY 425 rue Jean Rostand 31670 Labege Et le numero d'identification est: ;11/05/2020;IOT VALLEY - Contrat avec signatures
3;Represente par Monsieur LE MOAN Ludovic dfunent habilite, Ci-apres denomme(e) «le Client» ;11/05/2020;IOT VALLEY - Contrat avec signatures
3;Ci-apres denomme(e)s ;11/05/2020;IOT VALLEY - Contrat avec signatures
3;et d'autre part: ;11/05/2020;IOT VALLEY - Contrat avec signatures
3;La Societe HERVE THERMIQUE ;11/05/2020;IOT VALLEY - Contrat avec signatures
3;Societe par Actions Simplifiee au capital de 3 000 000 € ;11/05/2020;IOT VALLEY - Contrat avec signatures
3;dont le Siege Social est situe 14, rue Denis Papin, BP 105 ;11/05/2020;IOT VALLEY - Contrat avec signatures
3;37301 JOVE-LES-TOURS CEDEX ;11/05/2020;IOT VALLEY - Contrat avec signatures
3;et le numero d'identification est 627.220.049 RCS TOURS ;11/05/2020;IOT VALLEY - Contrat avec signatures
3;Titulaire des certificats de qualifications suivants a la date de signature des presentes ;11/05/2020;IOT VALLEY - Contrat avec signatures
3;QUALIBAT 5113 -5114 -5313 -5322 -5331 -5342 -5394 -5414 -5543 -5544 -7332 QUALIFELEC E3 -C4 ;11/05/2020;IOT VALLEY - Contrat avec signatures
3;Titulaire de la certification ISO 9001 version 2000 AFAQ n° 199717341d ;11/05/2020;IOT VALLEY - Contrat avec signatures
3;Representee par Monsieur Mathieu SOULIE BELREPAYRE dfunent habilite a l'effet des presentes, Ci-apres denommee «le Prestataire», ;11/05/2020;IOT VALLEY - Contrat avec signatures
3;individuellement ou collectivement « La (ou) Les Partie(s) » ;11/05/2020;IOT VALLEY - Contrat avec signatures
3;2;11/05/2020;IOT VALLEY - Contrat avec signatures
4;Table des matieres ;11/05/2020;IOT VALLEY - Contrat avec signatures
4;ARTICLE I -OBJET DU CONTRAT .................................................................................................................................... 4 ;11/05/2020;IOT VALLEY - Contrat avec signatures
4;ARTICLE II -PRESTATIONS ET FOURNITURES A LA CHARGE DU PRESTATAIRE................................................4 ;11/05/2020;IOT VALLEY - Contrat avec signatures
4;2.1  -Maintenance preventive ............................................................................................................4  2.2  -Maintenance corrective .............................................................................................................4  2.2.1  -Depannages....................................................................................................................4  2.2.2  -Reparations ...................................................................................................................5  2.3  -Fourniture..................................................................................................................................5  2.4  -Informations techniques et reglementaires ................................................................................5  2.5  -Outillage....................................................................................................................................5  2.6  -Arret technique..........................................................................................................................5  2.7  -Registre d'entretien ...................................................................................................................6  2.8  -Prise en charge des Installations ...............................................................................................6  ARTICLE III -ENGAGEMENTS ET OBLIGATIONS DU CLIENT ...................................................................................6 ;11/05/2020;IOT VALLEY - Contrat avec signatures
4;3.1  -Etat et fonctionnement de !'Installation ....................................................................................6  3.2  -Mise en conformite ...................................................................................................................7  3.3  -Autres prestations a la charge du Client....................................................................................7  3.4  -Assurances du Client.................................................................................................................7  3.5  -Acces aux locaux, conditions de travail ....................................................................................7  ARTICLE IV -SECURITE-PROTECTION DE LA SANTE ET DE L'ENVIRONNEMENT ................................... 8 ;11/05/2020;IOT VALLEY - Contrat avec signatures
4;4.1  -Securite et Protection de la sante ..............................................................................................8  4.2  -Amiante.....................................................................................................................................8  4.3  -Elimination des dechets ............................................................................................................8  ARTICLE V -ASSURANCE-RESPONSABILITE DU PRESTATAIRE ................................................................. 8 ;11/05/2020;IOT VALLEY - Contrat avec signatures
4;5.1  -Assurance..................................................................................................................................8  5.2  -Exclusion de responsabilite.......................................................................................................9  ARTICLE VI -CONDITIONS FINANCIERES -REGLEMENT DU PRIX ................................................................. 9 ;11/05/2020;IOT VALLEY - Contrat avec signatures
4;6.1  -Prix............................................................................................................................................9  6.2  -Revision du prix ...................................................................................................................... 10  6.3  -Conditions de paiement........................................................................................................... 10  6.4  -Suspension des Prestations pour non-paiement ...................................................................... 10  6.5  -Penalites de retard de paiement............................................................................................... 10  ARTICLE VII -FORCE MAJEURE .................................................................................................................................... 11 ;11/05/2020;IOT VALLEY - Contrat avec signatures
4;ARTICLE VIII -DISPOSITIONS DIVERSES .................................................................................................................... 11 ;11/05/2020;IOT VALLEY - Contrat avec signatures
4;8.1  -Modification substantielle des conditions d'execution du Contrat -adaptation du Contrat...11  8.2  -Cession du contrat...................................................................................................................11  8.3  -Clause de non debauchage de personnel ................................................................................. 12  8.4  -Confidentialite......................................................................................................................... 12  8.5  -References commerciales........................................................................................................ 12  ARTICLE IX -DUREE DU CONTRAT-RESILIATION ANTICIPEE ............................................................................. 12 ;11/05/2020;IOT VALLEY - Contrat avec signatures
4;9.1  -Duree du contrat...................................................................................................................... 12  9.2  -Resiliation anticipee................................................................................................................ I2  ARTICLE X -ELECTION DE DOMICILE-DROIT APPLICABLE -LITIGE ............................................................... 13 ;11/05/2020;IOT VALLEY - Contrat avec signatures
4;IO.I -Election de domicile.............................................................................................................. I3 ;11/05/2020;IOT VALLEY - Contrat avec signatures
4;10.2  -Droit applicable..................................................................................................................... 13  10.3  -Litige et juridiction................................................................................................................ 13  ANNEXE l............................................................................................................................................................................ 13 ;11/05/2020;IOT VALLEY - Contrat avec signatures
4;ANNEXE 2ANNEXE 1 ........................................................................................................................................................ 13 ;11/05/2020;IOT VALLEY - Contrat avec signatures
4;ANNEXE2............................................................................................................................................................................ 14 ;11/05/2020;IOT VALLEY - Contrat avec signatures
4;ANNEXE2............................................................................................................................................................................ 14 ;11/05/2020;IOT VALLEY - Contrat avec signatures
4;ANNEXE3............................................................................................................................................................................ 14 ;11/05/2020;IOT VALLEY - Contrat avec signatures
4;ANNEXE3............................................................................................................................................................................ 14 ;11/05/2020;IOT VALLEY - Contrat avec signatures
5;IL EST CONVENU ET ARRETE CE QUI SUIT: ;11/05/2020;IOT VALLEY - Contrat avec signatures
5;ARTICLE I -OBJET DU CONTRAT ;11/05/2020;IOT VALLEY - Contrat avec signatures
5;Le present contrat a pour objet de preciser les conditions dans lesquelles le Prestataire assurera la maintenance des equipements listes en annexe 1, ci-apres denommes « l'Installation ». ;11/05/2020;IOT VALLEY - Contrat avec signatures
5;Ce contrat conceme l'lnstallation situee a l'adresse suivante: ;11/05/2020;IOT VALLEY - Contrat avec signatures
5;IOTVALLEY ;11/05/2020;IOT VALLEY - Contrat avec signatures
5;231;11/05/2020;IOT VALLEY - Contrat avec signatures
5;rue Pierre et Marie Curie ;11/05/2020;IOT VALLEY - Contrat avec signatures
5;31670;11/05/2020;IOT VALLEY - Contrat avec signatures
5;Labege ;11/05/2020;IOT VALLEY - Contrat avec signatures
5;(Ci-apres « le Site ») ;11/05/2020;IOT VALLEY - Contrat avec signatures
5;Les prestations de maintenance decrites ci-apres portent sur Jes installations de Climatisation et ventilation ;11/05/2020;IOT VALLEY - Contrat avec signatures
5;ARTICLE II -PRESTATIONS ET FOURNITURES A LA CHARGE DU PRESTATAIRE ;11/05/2020;IOT VALLEY - Contrat avec signatures
5;Le Prestataire s'engage a assurer par lui-meme les prestations telles que definies ci-dessous. ;11/05/2020;IOT VALLEY - Contrat avec signatures
5;2.1 -Maintenance preventive ;11/05/2020;IOT VALLEY - Contrat avec signatures
5;La maintenance <lite preventive systematique (a intervalles fixes) ou conditionnelle (declenchee suivant des criteres predetermines) est destinee a reduire Jes probabilites de defaillance des equipements, assurer leur perennite et optimiser leur fonctionnement. ;11/05/2020;IOT VALLEY - Contrat avec signatures
5;Le Prestataire s'engage, pour la maintenance des equipements, a tenir compte des preconisations de leur constructeur et/ou fabricant. ;11/05/2020;IOT VALLEY - Contrat avec signatures
5;Le Prestataire realisera ses interventions suivant un planning previsionnel, les operations etant decrites dans les gammes de maintenance detaillees jointes en annexe 2. ;11/05/2020;IOT VALLEY - Contrat avec signatures
5;2.2 -Maintenance corrective ;11/05/2020;IOT VALLEY - Contrat avec signatures
5;La maintenance dite corrective a pour objet le depannage suivi ou non d'une reparation des equipements apres detection d'une defaillance de ceux-ci. ;11/05/2020;IOT VALLEY - Contrat avec signatures
5;2.2.1 -Depannages ;11/05/2020;IOT VALLEY - Contrat avec signatures
5;On entend par depannage toute intervention de recherche des causes de dysfonctionnement d'un equipement avec elimination, si possible, de celles-ci puis remise en service en mode normal ou degrade. En cas d'impossibilite de remise en service, le Prestataire procedera a la mise en securite de l'equipement defaillant. ;11/05/2020;IOT VALLEY - Contrat avec signatures
5;En cas de dysfonctionnement de l'lnstallation ou d'un de ses elements, le Prestataire s'engage a intervenir:  - lmmediatement pendant les heures de presence sur site de ses techniciens.  - Sur simple appel telephonique du Client, en dehors des heures de presence des techniciens, 24h/24h, dans un delai maximum de 2 heures (urgences) ou 4 heures (normal) ouvrees du site du Client en deleguant le personnel qualifie pour repondre a !'intervention demandee. Pendant Jes heures non ouvrees de l'agence du Prestataire en charge du present contrat, Jes appels telephoniques du Client feront l'objet d'un enregistrement vocal, ce que le Client reconnait et declare accepter. ;11/05/2020;IOT VALLEY - Contrat avec signatures
6;Le Client, s'il le souhaite, pourra faire ses demandes de depannage via son acces Extranet. Celles-ci seront alors traitees pendant les heures ouvrees de l'agence du Prestataire. ;11/05/2020;IOT VALLEY - Contrat avec signatures
6;NOTA BENE: Un seul numero vert gratuit pour vos demandes de depannages 24h/24 7j/7: 0 800 500 750 ;11/05/2020;IOT VALLEY - Contrat avec signatures
6;Les couts de main-d'reuvre de ces interventions de depannage sont inclus dans le montant forfaitaire de l'article 6.1 du present contrat. ;11/05/2020;IOT VALLEY - Contrat avec signatures
6;Les conditions de facturation des pieces fournies et des moyens specifiques utilises dans le cadre de ces interventions sont precisees dans le paragraphe 2.3. ;11/05/2020;IOT VALLEY - Contrat avec signatures
6;2.2.2 -Reparations ;11/05/2020;IOT VALLEY - Contrat avec signatures
6;On entend par reparation, toute intervention de remplacement de pieces ou remise en etat d'un equipement. ;11/05/2020;IOT VALLEY - Contrat avec signatures
6;Toute interventions inferieur ou egale a 200€ pieces HT remise fournisseur deduite, hors coefficients du prestataire et hors frais de port sont incluse au contrat. ;11/05/2020;IOT VALLEY - Contrat avec signatures
6;Sauf accord verbal des Parties ou cas d'urgence, les interventions de reparation superieure a 200 € pieces feront l'objet d'un devis prealable du Prestataire. Ces interventions ne pourront avoir lieu qu'apres reception d'un ordre de service (etant entendu que le retour du devis signe par le Client vaut ordre de service) ou d'un bon de commande dument signe par le Client et accepte par le Prestataire. Ces interventions seront soumises aux Conditions Generales d'Intervention du Prestataire en vigueur a la date de realisation de la prestation, ce que le Client reconnait et accepte. ;11/05/2020;IOT VALLEY - Contrat avec signatures
6;Le Client, s'il le souhaite, pourra faire ses demandes de reparation via son acces Extranet. Celles-ci seront alors traitees pendant les heures ouvrees de l'agence du Prestataire. ;11/05/2020;IOT VALLEY - Contrat avec signatures
6;2.3 -Fourniture  - Filtre VC et CTA (lx/an)  -1  Analyse legionellose (douche)  -1  Analyse phisico-chimique (circuit change-over)  - Petite fournitures : administratives, chiffons, graisse, huile, joints, baguette de soudure, bouteilles de gaz, produits de nettoyage, colle, petite quincaillerie (vis, rondelles, ecrous), etc ;11/05/2020;IOT VALLEY - Contrat avec signatures
6;2.4 -Informations techniques et reglementaires ;11/05/2020;IOT VALLEY - Contrat avec signatures
6;Le Prestataire portera a la connaissance du Client toutes dispositions a prendre pour assurer la longevite, la securite de l'lnstallation, sa mise en conformite avec la reglementation en vigueur, ainsi que l'amelioration des rendements lies aux economies d'energie. De son cote, le Client s'engage a prendre, dans les meilleurs delais a compter du moment ou ii a ete informe, les dispositions necessaires pour rendre les installations conformes. Le Client assumera toutes consequences de son eventuelle inaction suite a une mise en garde ou notification de non-conformite effectuee par le Prestataire. ;11/05/2020;IOT VALLEY - Contrat avec signatures
6;2.5 -Outillage ;11/05/2020;IOT VALLEY - Contrat avec signatures
6;Le Prestataire assurera la fourniture de l'outillage et des appareils de mesures et de controles necessaires pour ses prestations, ceux-ci demeurant sa propriete, a l'exclusion des moyens de levage et de manutention tels que nacelles, echafaudages et chariots elevateurs. ;11/05/2020;IOT VALLEY - Contrat avec signatures
6;2.6 -Arret technique ;11/05/2020;IOT VALLEY - Contrat avec signatures
6;Le Prestataire se mettra en rapport avec le Client pour permettre l'arret de l'Installation si necessaire. Les arrets seront aussi courts que possible afin de ne pas nuire au bon fonctionnement de l'ensemble. Ils seront generalement effectues du lundi au vendredi, saufles jours feries et en dehors des heures de nuit telles que determinees par l'article L3122-31 du code du travail et la convention collective applicable. Des interventions de nuit ou en jour non ouvres pourront exceptionnellement etre programmees sur accord prealable des Parties. ;11/05/2020;IOT VALLEY - Contrat avec signatures
7;2.7 -Registre d'entretien ;11/05/2020;IOT VALLEY - Contrat avec signatures
7;Les operations d'entretien ou de depannages seront consignees sur des rapports d'intervention specifiques au materiel. Sera consignee egalement la nomenclature des travaux necessaires au maintien en parfait etat de fonctionnement de !'Installation. Un exemplaire de ces rapports sera disponible sur support informatique (G.M.A.O). Le Prestataire pourra fournir un code d'acces au client pour consultation des plannings et rapports d'interventions sur son serveur Extranet G.M.A.O. ;11/05/2020;IOT VALLEY - Contrat avec signatures
7;2.8 -Prise en charge des Installations ;11/05/2020;IOT VALLEY - Contrat avec signatures
7;Pendant 60 jours apres la date d'effet du Contrat, le Prestataire, eventuellement avec le concours du precedent prestataire, devra effectuer une prise en charge des Installations en vue de decrire leur etat. ;11/05/2020;IOT VALLEY - Contrat avec signatures
7;Au cours de cette phase, le Prestataire pourra emettre toutes reserves ou observations sur l'etat des Installations, qu'il juge necessaire. ;11/05/2020;IOT VALLEY - Contrat avec signatures
7;Une fois l'audit effectue, un rapport de prise en charge des Installations sera realise par le Prestataire et sera signe contradictoirement par les Parties et annexe au Contrat. ;11/05/2020;IOT VALLEY - Contrat avec signatures
7;La remise en etat des Installations telles que repris au sein du rapport de prise en charge devra etre realisee aux frais du Client, charge a lui d'en imputer le coot au prestataire sortant. Pour cela, le Prestataire soumettra au Client une offre qui devra recevoir son accord ecrit avant tout debut d'execution. En aucun cas, la remise en etat des Installations a la prise en charge du Contrat est incluse dans le prix forfaitaire du Contrat. ;11/05/2020;IOT VALLEY - Contrat avec signatures
7;ARTICLE III -ENGAGEMENTS ET OBLIGATIONS DU CLIENT ;11/05/2020;IOT VALLEY - Contrat avec signatures
7;3.1 -Etat et fonctionnement de l'lnstallation ;11/05/2020;IOT VALLEY - Contrat avec signatures
7;Le Client garantit au Prestataire que l'Installation: ;11/05/2020;IOT VALLEY - Contrat avec signatures
7;Est en ordre de marche et en bon etat de fonctionnement. ;11/05/2020;IOT VALLEY - Contrat avec signatures
7;A ;11/05/2020;IOT VALLEY - Contrat avec signatures
7;ete realisee selon les regles de l'art et repond aux obligations reglementaires en vigueur. ;11/05/2020;IOT VALLEY - Contrat avec signatures
7;A ;11/05/2020;IOT VALLEY - Contrat avec signatures
7;fait l'objet d'une reception par le Maitre d'Ouvrage avec levee des eventuelles reserves. A ce titre, le Client informera le Prestataire des clauses de garanties legales et contractuelles attachees aux Installations du Contrat. 11 devra, a cette fin, lui remettre les proces-verbaux de reception et les eventuels proces-verbaux de levee de reserves. En cas d'avarie sur du materiel sous garantie, le Prestataire prend les mesures conservatoires necessaires dans l'attente de !'application des clauses de garanties par les installateurs, constructeurs ou leurs assureurs mis en cause par le Client. ;11/05/2020;IOT VALLEY - Contrat avec signatures
7;En outre, le Client s'engage a: ;11/05/2020;IOT VALLEY - Contrat avec signatures
7;Assurer au Prestataire l'exclusivite des Prestations defmies au Contrat. ;11/05/2020;IOT VALLEY - Contrat avec signatures
7;Autoriser le Prestataire a arreter le fonctionnement de tout ou partie des Installations soit en cas de necessite pour le remplacement d'une piece soit pour assurer des travaux d'entretien. ;11/05/2020;IOT VALLEY - Contrat avec signatures
7;Faire effectuer, a ses frais, toutes les verifications et controles reglementaires par les organismes agrees, ;11/05/2020;IOT VALLEY - Contrat avec signatures
7;Mettre a la disposition du Prestataire !'ensemble des documents en sa possession, utile a la mission du Prestataire, ;11/05/2020;IOT VALLEY - Contrat avec signatures
7;N'apporter aux Installations sous Contrat aucune modification sans information prealable par ecrit du Prestataire, ;11/05/2020;IOT VALLEY - Contrat avec signatures
